Job Title,Role,Description,Salary Range,Skills,Responsibilities
Web3 Community Manager,Marketing,"Manages blockchain project communities and improves user engagement.","RM 36,000 - RM 54,000","Social Media, Discord/Telegram, Communication, Content Creation","Engage users, moderate communities, run events, gather feedback for devs"
Chef,Culinary,"Oversees kitchen operations, plans menus, and prepares high-quality meals.","RM 40,000 - RM 90,000","Culinary Techniques, Menu Planning, Leadership, Time Management","Prepare and cook meals, manage kitchen staff, ensure food quality and hygiene standards"
Pastry Chef,Culinary,"Specializes in making pastries, desserts, bread, and other baked goods.","RM 35,000 - RM 75,000","Baking Techniques, Creativity, Attention to Detail, Food Safety","Bake and decorate pastries and desserts, develop new recipes, maintain cleanliness in the pastry section"
Sous Chef,Culinary,"Assists the head chef in kitchen operations and supervises junior staff.","RM 35,000 - RM 80,000","Team Management, Cooking, Inventory Control, Organization","Oversee food prep, manage kitchen stations, train junior staff, ensure timely service"
Line Cook,Culinary,"Prepares food on a specific station in the kitchen under the supervision of a chef.","RM 25,000 - RM 50,000","Cooking Techniques, Knife Skills, Cleanliness, Speed","Follow recipes, prep ingredients, cook assigned dishes, maintain cleanliness"
Kitchen Helper,Support,"Assists chefs and cooks with basic food prep, cleaning, and kitchen organization.","RM 18,000 - RM 30,000","Basic Cooking, Cleaning, Organization, Time Management","Wash dishes, prep ingredients, clean kitchen surfaces, support the cooking team"
Food Stylist,Culinary Arts,"Prepares food for photography and videography, ensuring visual appeal.","RM 35,000 - RM 70,000","Food Presentation, Creativity, Photography Coordination, Artistic Sense","Style dishes for shoots, collaborate with photographers, maintain food freshness during production"
Catering Manager,Catering,"Oversees catering services for events, ensuring quality and client satisfaction.","RM 45,000 - RM 90,000","Event Planning, Food Service, Budgeting, Client Relations","Coordinate catering logistics, plan menus, manage catering team, liaise with clients"
Restaurant Manager,Hospitality,"Manages restaurant operations including staff, service quality, and inventory.","RM 50,000 - RM 100,000","Leadership, Customer Service, Budgeting, Problem Solving","Supervise staff, handle customer complaints, ensure profitability, maintain service quality"
Food Safety Inspector,Quality Control,"Inspects food establishments to ensure compliance with safety and hygiene standards.","RM 45,000 - RM 85,000","Regulations, Food Hygiene, Reporting, Inspection Skills","Conduct inspections, enforce health codes, report violations, educate kitchen staff"
Nutritionist,Health,"Advises on food choices to promote health and manage dietary needs.","RM 50,000 - RM 95,000","Nutrition Knowledge, Communication, Meal Planning, Client Assessment","Develop diet plans, counsel clients, promote healthy eating, monitor progress"
Culinary Instructor,Education,"Teaches students cooking techniques, food safety, and kitchen management.","RM 45,000 - RM 90,000","Teaching, Culinary Skills, Communication, Curriculum Development","Develop lesson plans, teach cooking classes, assess students, manage practical sessions"
Food Blogger,Media,"Creates content about recipes, restaurants, and culinary experiences.","RM 25,000 - RM 70,000","Writing, Photography, SEO, Recipe Development","Write blog posts, take photos of dishes, develop original recipes, engage with readers"
Butcher,Meat Preparation,"Prepares meat by cutting, trimming, and packaging for sale or cooking.","RM 30,000 - RM 60,000","Knife Skills, Meat Knowledge, Safety, Customer Service","Cut and portion meat, maintain hygiene, assist customers, manage inventory"
Barista,Beverage,"Prepares coffee and espresso-based drinks and provides excellent customer service.","RM 20,000 - RM 35,000","Coffee Preparation, Customer Service, Speed, Cleanliness","Make coffee, handle POS system, keep work area clean, interact with customers"
Food Technologist,Food Science,"Develops and tests food products for quality, safety, and market readiness.","RM 50,000 - RM 100,000","Food Chemistry, R&D, Quality Control, Lab Testing","Develop recipes, test shelf-life, ensure food safety, collaborate with chefs and manufacturers"
Process Engineer,Engineering,"Optimizes manufacturing processes to improve efficiency and product quality.","RM 90,000 - RM 150,000","Lean Manufacturing, Six Sigma, Process Optimization, AutoCAD, Quality Control","Analyze production processes, implement improvements, ensure product quality, reduce costs"
Quality Assurance Manager,Quality Control,"Ensures products meet quality standards and comply with regulations.","RM 100,000 - RM 160,000","Quality Management Systems, ISO Standards, Auditing, Risk Analysis","Develop QA procedures, oversee inspections, lead audits, train QA staff"
Civil Engineer,Engineering,"Designs and supervises infrastructure projects like roads, bridges, and buildings.","RM 80,000 - RM 140,000","AutoCAD, Structural Design, Project Management, Construction Codes","Draft blueprints, inspect construction sites, ensure regulatory compliance"
Quantity Surveyor,Cost Management,"Manages construction project costs to ensure efficiency and profitability.","RM 75,000 - RM 130,000","Cost Estimation, Budgeting, Contract Management, Tendering","Prepare cost plans, assess financial viability, manage contracts"
Clinical Research Associate,Research,"Monitors and manages clinical trials to ensure data accuracy and patient safety.","RM 70,000 - RM 120,000","Clinical Trial Management, GCP, Regulatory Compliance, Data Monitoring","Oversee trial sites, review protocols, ensure ethical conduct of studies"
Medical Laboratory Technologist,Diagnostics,"Conducts tests on clinical specimens to aid diagnosis and treatment.","RM 60,000 - RM 100,000","Laboratory Techniques, Sample Handling, Data Analysis, Equipment Calibration","Analyze samples, maintain lab equipment, ensure accurate test results"
Logistics Coordinator,Operations,"Manages the movement, storage, and distribution of goods across the supply chain.","RM 55,000 - RM 95,000","Logistics Management, Inventory Systems, Coordination, Communication, ERP Software","Schedule shipments, manage inventory, coordinate with vendors, monitor deliveries"
Sales Engineer,Sales,"Combines technical knowledge with sales skills to sell complex products or services.","RM 70,000 - RM 120,000","Product Knowledge, Negotiation, CRM Software, Technical Expertise","Present technical solutions, engage with clients, close deals, support after-sales"
Human Resources Manager,Human Resources,"Oversees HR functions including recruitment, employee relations, and compliance.","RM 90,000 - RM 150,000","Talent Acquisition, Employment Law, Performance Management, HRIS Systems, Conflict Resolution","Develop HR policies, manage hiring processes, ensure legal compliance, foster employee development programs"
Financial Analyst,Finance,"Evaluates financial data to guide investment decisions and company strategy.","RM 70,000 - RM 120,000","Financial Modeling, Excel, Budgeting, Forecasting, Data Analysis","Prepare financial reports, assess economic trends, support budgeting processes, advise on financial planning"
Marketing Manager,Marketing,"Develops and implements marketing strategies to promote products and services.","RM 80,000 - RM 140,000","Market Research, Branding, Digital Marketing, Campaign Management, Analytics","Lead marketing campaigns, analyze market trends, manage budgets, coordinate with sales teams"
Operations Manager,Operations,"Oversees daily operations to ensure efficiency and effectiveness in business processes.","RM 85,000 - RM 135,000","Process Improvement, Supply Chain Management, Leadership, Strategic Planning, Budgeting","Streamline operations, manage teams, develop operational strategies, monitor performance metrics"
Customer Service Manager,Customer Service,"Leads customer service teams to enhance customer satisfaction and retention.","RM 60,000 - RM 110,000","Customer Relationship Management, Communication, Problem-Solving, Empathy, Team Leadership","Develop customer service policies, train staff, handle escalated issues, analyze customer feedback"
Procurement Manager,Supply Chain,"Manages procurement processes to acquire goods and services efficiently.","RM 75,000 - RM 125,000","Negotiation, Vendor Management, Cost Analysis, Contract Management, Strategic Sourcing","Develop procurement strategies, negotiate contracts, manage supplier relationships, monitor inventory levels"
Administrative Officer,Administration,"Provides administrative support to ensure efficient operation of the office.","RM 40,000 - RM 70,000","Office Management, Communication, Time Management, Microsoft Office Suite, Organizational Skills","Manage office supplies, schedule meetings, handle correspondence, maintain filing systems"
Sales Executive,Sales,"Drives sales by identifying and pursuing new business opportunities.","RM 50,000 - RM 90,000","Sales Techniques, Customer Relationship Management, Negotiation, Product Knowledge, Communication","Identify potential clients, present products/services, negotiate deals, achieve sales targets"
Public Relations Officer,Public Relations,"Manages the public image of the organization and handles communication with stakeholders.","RM 60,000 - RM 100,000","Media Relations, Communication, Crisis Management, Writing, Event Planning","Develop PR strategies, write press releases, manage media inquiries, organize promotional events"
Logistics Coordinator,Logistics,"Coordinates the movement of goods to ensure timely delivery and inventory management.","RM 55,000 - RM 95,000","Logistics Management, Inventory Control, Communication, Problem-Solving, ERP Systems","Schedule shipments, track deliveries, manage inventory levels, liaise with suppliers and customers"





